Case	Sales	Temp	Sun	Time	Q2	Q3	Q4
1	7972	30.90	366.1	1	0	0	0
2	10118	63.47	687.7	2	1	0	0
3	10539	77.20	707.7	3	0	1	0
4	9183	42.37	203.3	4	0	0	1
5	8159	36.20	332.6	1	0	0	0
6	10357	64.50	586.1	2	1	0	0
7	11329	80.40	710.6	3	0	1	0
8	9600	46.70	267.9	4	0	0	1
9	8065	32.07	387.3	1	0	0	0
10	10211	64.93	553.6	2	1	0	0
11	11028	78.50	652.4	3	0	1	0
12	9689	47.00	313.7	4	0	0	1
13	7888	34.57	300.4	1	0	0	0
14	10514	65.93	682.8	2	1	0	0
15	10547	78.43	615	3	0	1	0
16	9260	48.50	280.9	4	0	0	1
17	7640	36.17	290	1	0	0	0
18	9928	65.07	622.1	2	1	0	0
19	9863	73.67	644.1	3	0	1	0

