y	x1	x2
-0.6412	0.1	1.2
-1.1823	0.2	3.6
-0.5518	0.3	4.2
-0.0702	0.4	8.8
0.2046	0.5	1.7
1.5124	0.6	5.5
-1.1187	0.7	5.7
1.6212	0.8	5.9
1.6742	0.9	8.1
1.0769	1	0.8
0.0721	1.1	6.7
0.4203	1.2	1.5
0.6665	1.3	6.1
1.0261	1.4	6.4
1.536	1.5	6
1.4994	1.6	4
0.792	1.7	7.9
0.6347	1.8	9.1
1.1586	1.9	10
2.5857	2	9.6
3.5509	2.1	7.2
2.8987	2.2	2.1
1.9477	2.3	9.2
3.7507	2.4	7.8
1.7705	2.5	0.7
1.1829	2.6	7.7
3.8992	2.7	2.6
3.2111	2.8	2.8
4.4949	2.9	7.1
2.2899	3	1.3
2.5934	3.1	8.7
3.0186	3.2	4.4
4.5859	3.3	0.3
4.4514	3.4	5.8
3.7651	3.5	4.3
2.572	3.6	9.5
3.5631	3.7	2.5
4.2334	3.8	5
3.6919	3.9	8.9
3.4634	4	5.2
5.4117	4.1	0.5
4.7097	4.2	3.1
2.5742	4.3	8
3.8179	4.4	0.4
3.1673	4.5	9.7
4.7064	4.6	8.5
4.2044	4.7	6.9
6.1391	4.8	6.2
4.4902	4.9	5.4
4.4622	5	7.6
5.3022	5.1	0.2
4.5409	5.2	1.6
5.2268	5.3	9.8
5.9194	5.4	3
6.0293	5.5	8.4
6.2483	5.6	0.6
7.48	5.7	6.5
5.0026	5.8	8.6
7.2032	5.9	2.3
6.8228	6	3.5
5.8354	6.1	0.1
6.3919	6.2	5.6
6.9508	6.3	3.2
7.0491	6.4	1
8.5469	6.5	4.1
7.0989	6.6	1.9
7.2751	6.7	9.4
6.7811	6.8	9
7.9963	6.9	2.7
6.6511	7	3.8
7.8264	7.1	4.8
6.3273	7.2	3.4
6.8081	7.3	3.9
7.8308	7.4	6.6
7.6032	7.5	8.2
8.2179	7.6	7.3
7.1223	7.7	2.2
8.5013	7.8	5.3
8.8354	7.9	4.9
5.296	8	5.1
5.9862	8.1	3.7
8.0894	8.2	7.5
8.9147	8.3	2.9
7.9682	8.4	9.9
9.0898	8.5	7.4
9.3673	8.6	1.4
9.6689	8.7	9.3
6.29	8.8	7
9.4634	8.9	2
8.8089	9	8.3
7.2476	9.1	4.6
9.5903	9.2	0.9
7.9192	9.3	1.8
8.2988	9.4	6.3
10.7273	9.5	2.4
9.0037	9.6	4.7
9.8163	9.7	4.5
9.927	9.8	6.8
10.7054	9.9	1.1
9.6262	10	3.3
