Yi	ni	x1i	x2i
169.2	7	0.857	0
56.82	6	0.167	0.667
25.52	6	0	1
90.67	5	0.8	0.2
92.65	8	0.5	0
87.76	9	0.667	0
70.78	5	0	0.2
56.17	8	0	0.25
151.88	5	0	0
67.5	7	0.571	0.143
74.42	5	0	0
139.31	8	0.625	0
35.94	7	0	0.143
62.04	11	0	0.273
66.12	5	0.6	0
82.56	14	0.714	0
83.65	7	0.571	0
126.67	12	0.667	0.167
38.91	8	0	0.25
71.87	9	0.778	0
74.96	7	0.571	0.143
76.38	9	0.667	0
79.49	6	0	0.167
80	9	1	0
88.19	6	0	0
97.43	14	0.786	0
109.13	8	0.125	0
80.99	5	0.2	0.4
86.63	15	0.8	0
176.52	9	0.222	0.111
106.01	6	0.333	0.167
93.71	7	0	0.143
94.71	8	0	0
96.42	6	0.333	0.333
128.64	9	0.556	0.111
64.62	7	0	0.286
72.1	13	0.615	0
90.68	7	0.143	0
70.11	6	0.333	0
185.52	6	0.5	0
31.48	16	0	0.563
53.63	18	0	0
63.23	5	0	0
73.45	5	0	0
95.77	5	0.2	0.4
43.72	14	0	0.143
57.55	9	0	0.333
59.22	7	0	0.571
79.53	6	0.167	0.167
72.38	5	0	0
66.56	16	0.438	0.25
83.33	5	0.2	0
87.32	6	0.167	0.333
76.59	8	0	0.375
155.14	8	0	0
89.1	17	0.765	0.118
91.75	12	0.167	0
71.25	16	0.688	0.125
92.32	6	0.333	0.167
98.78	12	0.5	0.333
100.9	13	0.769	0
122.14	11	0	0
64.09	7	0.857	0
71.54	13	0.923	0
176.36	5	0	0
180.76	5	0.2	0
56.7	18	0.056	0.778
69.66	8	0.625	0
92.2	7	0	0.143
70.1	5	0	0
191.32	8	0.25	0
64.72	7	0	0.429
83.9	6	0.167	0
52.47	6	0.167	0.333
63.7	5	0.2	0
69.07	5	0.6	0
78	21	0.667	0
98.04	5	0	0
59.74	11	0	0.182
161.26	13	0	0.077
272.56	5	0.2	0
63.15	16	0.188	0.125
87.99	11	0	0
82.74	5	0	0.2
63.24	10	0.1	0
78.65	5	0	0.2
80.93	12	0.583	0
84.76	18	0.611	0
80.27	6	0	0.333
95.54	9	0.333	0.222
101.67	6	0	0.333
178.8	5	0	0
82.75	10	0	0.2
90.99	16	0.563	0.125
67.22	8	0	0.125
76.92	7	0.571	0
86.44	7	0	0.143
87.53	9	0.111	0
91.97	8	0.25	0
67.93	8	0.75	0
176.69	8	0	0.25
73.55	31	0.516	0
94.17	5	0	0
200.51	9	0	0
77.44	29	0.724	0
82.97	8	0	0
85.58	7	0	0
94.25	10	0	0
61.55	6	0	0
64.33	6	0	0.333
67.91	25	0.44	0.08
70.36	9	0	0
75.87	5	0	0
95.19	17	0.824	0
192.52	7	0.429	0.143
59.93	5	0	0.4
71.49	6	0	0
63.33	5	0.2	0
88.57	7	0	0
71.66	6	0.167	0.333
24.14	25	0	0.96
63.25	13	0	0
70.35	34	0.882	0.029
77.49	8	0.125	0
80.22	5	0	0
130.37	14	0	0
55.55	8	0	0.125
67.99	10	0.1	0
168.11	5	0.2	0
64.91	9	0	0.222
72.8	9	0	0
75.65	10	0	0
79.51	15	0.667	0
93.91	10	0.1	0.4
83.9	9	0	0
107.22	7	0	0
75.37	10	0	0.1
129.84	31	0.871	0
60.99	6	0	0.333
71.89	9	0	0.111
76.19	5	0	0
95.44	7	0.143	0
133.99	7	0	0
63.73	12	0.75	0
76.47	7	0.286	0.143
84.65	7	0	0
91.29	5	0	0
97.63	9	0	0.333
64.09	9	0.222	0.556
74.47	6	0	0
88.77	11	0	0
97.46	17	0.353	0.059
115.66	7	0	0
85.39	5	0	0.2
61.1	30	0.933	0.033
71.48	5	0	0
94.58	9	0	0
73.02	12	0	0.083
86.36	5	0	0.4
59.36	8	0	0.25
73.41	13	0.077	0.077
101.17	12	0.083	0.167
47.97	12	0	0.333
65.92	16	0	0.188
103.5	7	0	0
139.28	8	0	0
66.33	10	0	0.3
80.6	7	0	0.143
83.29	7	0	0
86.89	9	0	0
178.75	7	0.571	0
42.6	7	0	0.571
58.92	5	0	0
72.37	7	0	0
73.95	9	0	0
75.11	7	0	0
57.29	7	0	0.286
68.29	11	0	0
69.88	12	0	0
70.62	8	0	0
71.62	19	0.737	0.105
58.85	8	0	0.25
63.22	6	0	0
76.23	7	0	0
146.65	6	0	0
63.54	8	0	0
65.28	6	0	0
58.42	11	0.091	0.545
65.46	5	0	0.2
68.24	10	0	0
77.27	7	0	0
98.76	7	0	0.429
64.96	5	0	0
65.83	7	0	0.286
68.66	6	0	0
83.29	8	0	0
94.1	11	0.182	0.182
57.52	7	0	0.143
61.19	8	0	0.375
67.52	8	0	0
67.97	9	0	0
80.88	12	0.333	0.083
85.72	6	0	0
87.32	7	0	0
127.78	8	0	0
201.16	9	0.111	0
223.91	7	0	0
58.35	7	0	0
92.98	15	0.267	0
203.2	6	0.167	0
288.66	11	0	0
158.1	11	0.091	0
177.87	6	0	0
59.69	9	0	0
62.16	9	0	0.222
72.41	6	0	0
81.76	10	0	0.1
124.85	16	0.438	0
111.63	6	0	0
76.35	7	0.143	0
76.99	32	0.938	0.063
92.34	11	0	0
61.68	7	0	0
64.95	7	0	0.286
77.17	17	0.882	0.059
123.31	5	0	0
188.49	16	0	0
81	13	0	0.077
85.94	9	0.222	0
95.41	8	0.125	0.125
141.4	8	0.625	0
57.8	5	0	0
57.98	8	0	0
67.24	17	0.059	0.176
62.38	5	0.2	0.2
170.56	11	0.091	0
57.58	6	0	0.333
65.09	5	0	0
71.4	9	0	0.111
80.83	18	0.667	0.111
92.44	9	0	0
116.22	6	0	0
116.76	7	0.429	0
125	15	0	0
141.24	10	0	0
150.27	9	0	0.111
65.33	8	0	0
70.89	18	0.333	0
46.11	7	0	0.286
95.4	10	0.1	0
189.8	14	0.214	0
60.59	10	0	0.1
69.96	11	0.091	0
83.36	18	0.722	0.056
96.22	8	0	0
164.86	5	0	0
62.39	9	0.333	0
77.49	6	0	0.167
79.44	11	0	0.182
86.04	5	0	0
228.27	6	0	0
297.01	7	0.286	0
49.95	18	0.056	0.167
73.29	14	0	0
90.07	8	0	0
61.64	10	0	0.1
65.48	22	0.364	0.318
76.36	16	0.063	0
147.68	7	0	0
66.08	8	0	0
66.84	9	0	0.111
72.81	8	0	0.125
70.14	10	0	0.5
60.76	6	0	0.167
63.11	13	0	0
74.08	14	0.143	0.071
78.32	8	0	0.125
82.92	10	0	0
106.19	12	0.083	0
40.46	6	0	0.333
64.1	6	0	0.167
64.13	9	0	0.111
67.21	10	0.4	0.3
59.7	5	0	0
61.36	11	0	0.273
64.45	5	0	0
76.69	8	0	0
84.25	10	0	0.3
59.27	8	0	0.125
70.78	31	0.548	0.032
71.27	19	0.368	0
74.42	6	0.667	0.167
61.98	5	0	0
72.53	8	0	0
81.16	8	0	0
86.9	7	0	0.143
60.6	6	0	0.5
29.93	7	0	0
59.11	31	0.613	0.129
67.7	10	0	0
70.55	11	0	0
