abbreviation	Top10	LogPopulation	LogContestants	LogTotalArea	Latitude	Longitude
AL	6	11.9249	3.895893623	10.867	32.3833	86.367
AK	0	9.8011	2.708050201	13.4049	58.3667	134.583
AZ	0	12.0543	2.862200881	11.6439	33.4333	112.017
AR	4	11.2702	3.766997233	10.8814	34.7333	92.233
CA	5	14.0005	3.935739532	12.0058	38.5167	121.5
CO	0	11.882	2.944438979	11.553	39.75	104.867
CT	2	11.5742	2.944438979	8.6203	41.7333	72.65
DE	0	10.3397	2.85263143	7.8196	39.1333	75.467
DC	2	10.3899	2.456735773	4.2195	38.85	77.033
FL	3	13.0882	3.725693427	11.0937	30.3833	84.367
GA	4	12.5558	3.875359021	10.9925	33.65	84.433
HI	3	10.6205	2.564949357	9.2994	21.3333	157.917
ID	0	10.6565	2.970414466	11.3334	43.5667	116.217
IL	2	13.0341	3.238678452	10.9667	39.8333	89.667
IN	2	12.3026	3.126760536	10.5028	39.7333	86.283
IA	1	11.6306	2.879198457	10.938	41.5333	93.65
KS	1	11.4371	2.978925155	11.3178	39.0667	95.633
KY	2	11.7568	3.433987204	10.6068	38.2	84.867
LA	2	12.1042	3.465735903	10.8559	30.5333	91.15
ME	0	10.6066	2.48490665	10.474	44.3167	69.8
MD	3	12.1239	3.218875825	9.426	39	76.083
MA	2	12.4428	2.917770732	9.2644	42.3667	71.033
MI	3	12.8257	3.36729583	11.4795	42.7833	84.6
MN	0	12.1286	2.724579503	11.373	44.8833	93.217
MS	3	11.6233	3.703768067	10.7879	32.3167	90.083
MO	0	12.1716	3.526360525	11.152	38.5667	92.183
MT	0	10.292	2.85263143	11.8985	46.6	112
NE	0	11.0494	2.871679625	11.2561	40.85	96.75
NV	1	10.9462	2.549445171	11.6133	39.1667	119.767
NH	1	10.6631	2.785011242	9.1431	43.2	71.5
NJ	2	12.5266	3.242592351	9.0735	40.2167	74.767
NM	0	11.042	3.091042453	11.7084	35.6167	106.083
NY	3	13.4873	3.072693315	10.907	42.75	73.8
NC	2	12.5005	3.33220451	10.8934	35.8667	78.783
ND	0	10.1843	3.032546247	11.1662	46.7667	100.75
OH	0	12.9287	3.212186837	10.7105	40	82.883
OK	5	11.6138	3.784189634	11.1548	35.4	97.6
OR	1	11.668	3.100092289	11.4966	44.9167	123.017
PA	4	13.0212	3.17805383	10.7376	40.2	76.767
RI	1	10.7402	2.656756907	7.3428	41.7333	71.433
SC	1	11.8946	3.725693427	10.3741	33.95	81.117
SD	0	10.2306	2.674148649	11.2531	44.3833	100.283
TN	1	12.1059	3.564826805	10.6488	36.1167	86.683
TX	7	13.464	3.811097087	12.5009	30.3	97.7
UT	2	11.5123	4.040123008	11.3492	40.7667	111.967
VT	0	10.0402	2.335374916	9.171	44.2667	72.567
VA	3	12.4058	3.258096538	10.6637	37.5	77.333
WA	1	12.2114	2.995732274	11.1747	46.9667	122.9
WV	2	10.9746	3.091042453	10.0953	38.3667	81.6
WI	3	12.2358	3.212186837	11.0898	43.1333	89.333
WY	0	9.6926	1.909542505	11.4908	41.15	104.817
