Case	CouponRate	BidPrice
1	7	92.94
2	9	101.44
3	7	92.66
4	4.125	94.50
5	13.125	118.94
6	8	96.75
7	8.75	100.88
8	12.625	117.25
9	9.5	103.34
10	10.125	106.25
11	11.625	113.19
12	8.625	99.44
13	3	94.50
14	10.5	108.31
15	11.25	111.69
16	8.375	98.09
17	10.375	107.91
18	11.25	111.97
19	12.625	119.06
20	8.875	100.38
21	10.5	108.5
22	8.625	99.25
23	9.5	103.63
24	11.5	114.03
25	8.875	100.38
26	7.375	92.06
27	7.25	90.88
28	8.625	98.41
29	8.5	97.75
30	8.875	99.88
31	8.125	95.16
32	9	100.66
33	9.25	102.31
34	7	88
35	3.5	94.53
