Sales	Advert	Lag1Advert	Time	Month_2	Month_3	Month_4	Month_5	Month_6	Month_7	Month_8	Month_9	Month_10	Month_11	Month_12
423	1	5	2	1	0	0	0	0	0	0	0	0	0	0
414	3	1	3	0	1	0	0	0	0	0	0	0	0	0
506	3	3	4	0	0	1	0	0	0	0	0	0	0	0
419	3	3	5	0	0	0	1	0	0	0	0	0	0	0
544	2	3	6	0	0	0	0	1	0	0	0	0	0	0
392	7	2	7	0	0	0	0	0	1	0	0	0	0	0
449	4	7	8	0	0	0	0	0	0	1	0	0	0	0
502	4	4	9	0	0	0	0	0	0	0	1	0	0	0
520	9	4	10	0	0	0	0	0	0	0	0	1	0	0
689	11	9	11	0	0	0	0	0	0	0	0	0	1	0
1377	14	11	12	0	0	0	0	0	0	0	0	0	0	1
375	3	14	13	0	0	0	0	0	0	0	0	0	0	0
318	2	3	14	1	0	0	0	0	0	0	0	0	0	0
378	4	2	15	0	1	0	0	0	0	0	0	0	0	0
497	2	4	16	0	0	1	0	0	0	0	0	0	0	0
433	2	2	17	0	0	0	1	0	0	0	0	0	0	0
426	2	2	18	0	0	0	0	1	0	0	0	0	0	0
421	8	2	19	0	0	0	0	0	1	0	0	0	0	0
448	3	8	20	0	0	0	0	0	0	1	0	0	0	0
519	4	3	21	0	0	0	0	0	0	0	1	0	0	0
638	8	4	22	0	0	0	0	0	0	0	0	1	0	0
714	13	8	23	0	0	0	0	0	0	0	0	0	1	0
1501	15	13	24	0	0	0	0	0	0	0	0	0	0	1
356	3	15	25	0	0	0	0	0	0	0	0	0	0	0
338	1	3	26	1	0	0	0	0	0	0	0	0	0	0
428	4	1	27	0	1	0	0	0	0	0	0	0	0	0
490	8	4	28	0	0	1	0	0	0	0	0	0	0	0
434	2	8	29	0	0	0	1	0	0	0	0	0	0	0
487	4	2	30	0	0	0	0	1	0	0	0	0	0	0
381	7	4	31	0	0	0	0	0	1	0	0	0	0	0
472	4	7	32	0	0	0	0	0	0	1	0	0	0	0
699	6	4	33	0	0	0	0	0	0	0	1	0	0	0
310	2	6	34	0	0	0	0	0	0	0	0	1	0	0
795	18	2	35	0	0	0	0	0	0	0	0	0	1	0
1605	16	18	36	0	0	0	0	0	0	0	0	0	0	1
292	5	16	37	0	0	0	0	0	0	0	0	0	0	0
295	1	5	38	1	0	0	0	0	0	0	0	0	0	0
408	10	1	39	0	1	0	0	0	0	0	0	0	0	0
480	5	10	40	0	0	1	0	0	0	0	0	0	0	0
460	5	5	41	0	0	0	1	0	0	0	0	0	0	0
576	2	5	42	0	0	0	0	1	0	0	0	0	0	0
436	6	2	43	0	0	0	0	0	1	0	0	0	0	0
436	4	6	44	0	0	0	0	0	0	1	0	0	0	0
437	5	4	45	0	0	0	0	0	0	0	1	0	0	0
556	3	5	46	0	0	0	0	0	0	0	0	1	0	0
747	13	3	47	0	0	0	0	0	0	0	0	0	1	0
1531	11	13	48	0	0	0	0	0	0	0	0	0	0	1
406	6	11	49	0	0	0	0	0	0	0	0	0	0	0
314	2	6	50	1	0	0	0	0	0	0	0	0	0	0
503	8	2	51	0	1	0	0	0	0	0	0	0	0	0
438	5	8	52	0	0	1	0	0	0	0	0	0	0	0
453	4	5	53	0	0	0	1	0	0	0	0	0	0	0
417	3	4	54	0	0	0	0	1	0	0	0	0	0	0
352	4	3	55	0	0	0	0	0	1	0	0	0	0	0
439	4	4	56	0	0	0	0	0	0	1	0	0	0	0
533	6	4	57	0	0	0	0	0	0	0	1	0	0	0
618	9	6	58	0	0	0	0	0	0	0	0	1	0	0
706	11	9	59	0	0	0	0	0	0	0	0	0	1	0
1647	5	11	60	0	0	0	0	0	0	0	0	0	0	1
350	4	5	61	0	0	0	0	0	0	0	0	0	0	0
361	0	4	62	1	0	0	0	0	0	0	0	0	0	0
502	7	0	63	0	1	0	0	0	0	0	0	0	0	0
417	4	7	64	0	0	1	0	0	0	0	0	0	0	0
565	5	4	65	0	0	0	1	0	0	0	0	0	0	0
432	2	5	66	0	0	0	0	1	0	0	0	0	0	0
353	3	2	67	0	0	0	0	0	1	0	0	0	0	0
495	4	3	68	0	0	0	0	0	0	1	0	0	0	0
528	6	4	69	0	0	0	0	0	0	0	1	0	0	0
612	4	6	70	0	0	0	0	0	0	0	0	1	0	0
715	20	4	71	0	0	0	0	0	0	0	0	0	1	0
1487	5	20	72	0	0	0	0	0	0	0	0	0	0	1
447	3	5	73	0	0	0	0	0	0	0	0	0	0	0
364	4	3	74	1	0	0	0	0	0	0	0	0	0	0
437	7	4	75	0	1	0	0	0	0	0	0	0	0	0
478	2	7	76	0	0	1	0	0	0	0	0	0	0	0
504	2	2	77	0	0	0	1	0	0	0	0	0	0	0
438	9	2	78	0	0	0	0	1	0	0	0	0	0	0
429	1	9	79	0	0	0	0	0	1	0	0	0	0	0
439	2	1	80	0	0	0	0	0	0	1	0	0	0	0
544	5	2	81	0	0	0	0	0	0	0	1	0	0	0
671	6	5	82	0	0	0	0	0	0	0	0	1	0	0
848	17	6	83	0	0	0	0	0	0	0	0	0	1	0
1504	13	17	84	0	0	0	0	0	0	0	0	0	0	1
374	3	13	85	0	0	0	0	0	0	0	0	0	0	0
394	1	3	86	1	0	0	0	0	0	0	0	0	0	0
508	11	1	87	0	1	0	0	0	0	0	0	0	0	0
470	3	11	88	0	0	1	0	0	0	0	0	0	0	0
444	12	3	89	0	0	0	1	0	0	0	0	0	0	0
366	4	12	90	0	0	0	0	1	0	0	0	0	0	0
406	2	4	91	0	0	0	0	0	1	0	0	0	0	0
509	4	2	92	0	0	0	0	0	0	1	0	0	0	0
551	6	4	93	0	0	0	0	0	0	0	1	0	0	0
654	13	6	94	0	0	0	0	0	0	0	0	1	0	0
