Case	Time	DArea	CCost	Dwgs	Length	Spans
1	78.8	3.6	82.4	6	90	1
2	309.5	5.33	422.3	12	126	2
3	184.5	6.29	179.8	9	78	1
4	69.6	2.2	100	5	60	1
5	68.8	1.44	103	5	60	1
6	95.7	5.4	134.4	5	60	1
7	112.3	6.6	173.2	5	180	3
8	171.9	7.9	207.9	7	188	2
9	177.8	4.88	327.7	9	336	2
10	65.8	0.85	56.2	3	25	1
11	51.2	1.45	46.8	3	50	1
12	59.6	4.1	118.9	6	114	2
13	85.4	3.89	113.3	6	108	2
14	138.1	5.48	309	6	128	2
15	125.7	5.48	309	6	128	2
16	70.1	3.78	106.1	5	90	1
17	342.9	19.58	374.5	7	430	6
18	70.3	1.5	98.3	5	50	1
19	124.9	4.83	99.3	6	68	1
20	90	1.89	60	5	64	1
21	111.7	3.43	67.4	5	70	1
22	104.7	33.18	1123.6	9	273	2
23	82.1	4.22	123.6	6	95	1
24	199.8	7.43	222.9	9	73	1
25	256.9	9.98	498	15	185	3
26	179.7	22.53	563.3	9	395	6
27	296.6	45	749.1	9	450	5
28	159.6	10.36	187.3	10	140	3
29	182.1	10.36	187.3	10	140	3
30	173	22.5	500.5	9	308	3
31	216	23.07	701.7	12	438	4
32	329.8	42.67	1066.8	12	405	4
33	325.3	30.67	766.7	15	902	7
34	47.8	1.01	30	4	35	1
35	57	2.52	65.5	5	70	1
36	59.4	2.16	63.7	5	60	1
37	59.2	2.14	68.4	4	70	1
38	84.4	7.74	187.3	5	242	5
39	202.1	13.65	421.4	9	369	1
40	46.6	4.22	107.7	6	124	1
41	257.5	20.73	1264.1	11	860	5
42	167.1	7.48	220.1	7	220	3
43	418.1	7.21	336.2	11	285	3
44	302.2	10.89	641.4	8	560	5
45	87.2	3.24	70.2	6	90	1
