Vehicle Name,Hybrid,SuggestedRetailPrice,DealerCost,EngineSize,Cylinders,Horsepower,CityMPG,HighwayMPG,Weight,WheelBase,Length,Width
Chevrolet Aveo 4dr,0,11690,10965,1.6,4,103,28,34,2370,98,167,66
Chevrolet Aveo LS 4dr hatch,0,12585,11802,1.6,4,103,28,34,2348,98,153,66
Chevrolet Cavalier 2dr,0,14610,13697,2.2,4,140,26,37,2617,104,183,69
Chevrolet Cavalier 4dr,0,14810,13884,2.2,4,140,26,37,2676,104,183,68
Chevrolet Cavalier LS 2dr,0,16385,15357,2.2,4,140,26,37,2617,104,183,69
Dodge Neon SE 4dr,0,13670,12849,2,4,132,29,36,2581,105,174,67
Dodge Neon SXT 4dr,0,15040,14086,2,4,132,29,36,2626,105,174,67
Ford Focus ZX3 2dr hatch,0,13270,12482,2,4,130,26,33,2612,103,168,67
Ford Focus LX 4dr,0,13730,12906,2,4,110,27,36,2606,103,168,67
Ford Focus SE 4dr,0,15460,14496,2,4,130,26,33,2606,103,168,67
Ford Focus ZX5 5dr,0,15580,14607,2,4,130,26,33,2691,103,168,67
Honda Civic DX 2dr,0,13270,12175,1.7,4,115,32,38,2432,103,175,67
Honda Civic HX 2dr,0,14170,12996,1.7,4,117,36,44,2500,103,175,67
Honda Civic LX 4dr,0,15850,14531,1.7,4,115,32,38,2513,103,175,68
Hyundai Accent 2dr hatch,0,10539,10107,1.6,4,103,29,33,2255,96,167,66
Hyundai Accent GL 4dr,0,11839,11116,1.6,4,103,29,33,2290,96,167,66
Hyundai Accent GT 2dr hatch,0,11939,11209,1.6,4,103,29,33,2339,96,167,66
Hyundai Elantra GLS 4dr,0,13839,12781,2,4,138,26,34,2635,103,178,68
Hyundai Elantra GT 4dr,0,15389,14207,2,4,138,26,34,2635,103,178,68
Hyundai Elantra GT 4dr hatch,0,15389,14207,2,4,138,26,34,2698,103,178,68
Kia Optima LX 4dr,0,16040,14910,2.4,4,138,23,30,3281,106,186,72
Kia Rio 4dr manual,0,10280,9875,1.6,4,104,26,33,2403,95,167,66
Kia Rio 4dr auto,0,11155,10705,1.6,4,104,25,32,2458,95,167,66
Kia Spectra 4dr,0,12360,11630,1.8,4,124,24,32,2661,101,178,68
Kia Spectra GS 4dr hatch,0,13580,12830,1.8,4,124,24,32,2686,101,178,68
Kia Spectra GSX 4dr hatch,0,14630,13790,1.8,4,124,24,32,2697,101,178,68
Mini Cooper,0,16999,15437,1.6,4,115,28,37,2524,97,143,67
Nissan Sentra 1.8 4dr,0,12740,12205,1.8,4,126,28,35,2513,100,178,67
Nissan Sentra 1.8 S 4dr,0,14740,13747,1.8,4,126,28,35,2581,100,178,67
Pontiac Sunfire 1SA 2dr,0,15495,14375,2.2,4,140,24,33,2771,104,182,68
Saturn Ion1 4dr,0,10995,10319,2.2,4,140,26,35,2692,103,185,67
Saturn lon2 4dr,0,14300,13393,2.2,4,140,26,35,2692,103,185,67
Saturn lon3 4dr,0,15825,14811,2.2,4,140,26,35,2692,103,185,67
Saturn lon2 quad coupe 2dr,0,14850,13904,2.2,4,140,26,35,2751,103,185,68
Saturn lon3 quad coupe 2dr,0,16350,15299,2.2,4,140,26,35,2751,103,185,68
Scion xA 4dr hatch,0,12965,12340,1.5,4,108,32,38,2340,93,154,67
Suzuki Aeno S 4dr,0,12884,12719,2.3,4,155,25,31,2676,98,171,68
Suzuki Aerio LX 4dr,0,14500,14317,2.3,4,155,25,31,2676,98,171,68
Suzuki Forenza S 4dr,0,12269,12116,2,4,119,24,31,2701,102,177,68
Suzuki Forenza EX 4dr,0,15568,15378,2,4,119,22,30,2756,102,177,68
Toyota Corolla CE 4dr,0,14085,13065,1.8,4,130,32,40,2502,102,178,67
Toyota Corolla S 4dr,0,15030,13650,1.8,4,130,32,40,2524,102,178,67
Toyota Corolla LE 4dr,0,15295,13889,1.8,4,130,32,40,2524,102,178,67
Toyota Echo 2dr manual,0,10760,10144,1.5,4,108,35,43,2035,93,163,65
Toyota Echo 2dr auto,0,11560,10896,1.5,4,108,33,39,2085,93,163,65
Toyota Echo 4dr,0,11290,10642,1.5,4,108,35,43,2055,93,163,65
Buick Century Custom 4dr,0,22180,20351,3.1,6,175,20,30,3353,109,195,73
Chevrolet Impala 4dr,0,21900,20095,3.4,6,180,21,32,3465,111,200,73
