Method	Changeover	New
Existing	19	0
Existing	24	0
Existing	39	0
Existing	12	0
Existing	29	0
Existing	19	0
Existing	23	0
Existing	22	0
Existing	12	0
Existing	29	0
Existing	22	0
Existing	23	0
Existing	12	0
Existing	40	0
Existing	16	0
Existing	9	0
Existing	20	0
Existing	25	0
Existing	10	0
Existing	13	0
Existing	9	0
Existing	9	0
Existing	14	0
Existing	11	0
Existing	19	0
Existing	31	0
Existing	16	0
Existing	20	0
Existing	11	0
Existing	11	0
Existing	21	0
Existing	24	0
Existing	28	0
Existing	30	0
Existing	14	0
Existing	12	0
Existing	12	0
Existing	17	0
Existing	16	0
Existing	18	0
Existing	12	0
Existing	16	0
Existing	11	0
Existing	15	0
Existing	20	0
Existing	15	0
Existing	11	0
Existing	12	0
Existing	17	0
Existing	13	0
Existing	16	0
Existing	20	0
Existing	26	0
Existing	36	0
Existing	16	0
Existing	18	0
Existing	13	0
Existing	19	0
Existing	11	0
Existing	16	0
Existing	14	0
Existing	8	0
Existing	21	0
Existing	24	0
Existing	7	0
Existing	23	0
Existing	11	0
Existing	12	0
Existing	27	0
Existing	12	0
Existing	17	0
Existing	16	0
New	15	1
New	24	1
New	20	1
New	22	1
New	13	1
New	6	1
New	20	1
New	26	1
New	10	1
New	19	1
New	11	1
New	13	1
New	21	1
New	8	1
New	13	1
New	14	1
New	11	1
New	16	1
New	8	1
New	30	1
New	9	1
New	7	1
New	8	1
New	28	1
New	11	1
New	12	1
New	15	1
New	7	1
New	9	1
New	12	1
New	23	1
New	19	1
New	14	1
New	8	1
New	14	1
New	5	1
New	14	1
New	25	1
New	5	1
New	7	1
New	11	1
New	7	1
New	6	1
New	12	1
New	8	1
New	14	1
New	40	1
New	35	1
