Week	Sales	Price	Promotion	SalesLag1
1	611	0.67	0	NA
2	673	0.66	0	611
3	710	0.67	0	673
4	478	0.66	0	710
5	425	0.66	0	478
6	601	0.65	0	425
7	607	0.67	0	601
8	637	0.67	0	607
9	507	0.68	0	637
10	467	0.68	0	507
11	411	0.78	0	467
12	538	0.77	0	411
13	2670	0.57	1	538
14	2966	0.57	1	2670
15	857	0.67	0	2966
16	440	0.78	0	857
17	455	0.78	0	440
18	472	0.78	0	455
19	430	0.78	0	472
20	413	0.78	0	430
21	413	0.77	0	413
22	424	0.79	0	413
23	1063	0.67	0	424
24	469	0.77	0	1063
25	367	0.82	0	469
26	247	0.81	0	367
27	448	0.81	0	247
28	401	0.83	0	448
29	359	0.83	0	401
30	156	0.83	0	359
31	272	0.83	0	156
32	476	0.82	0	272
33	341	0.84	0	476
34	440	0.83	0	341
35	418	0.83	0	440
36	470	0.83	0	418
37	667	0.81	0	470
38	6831	0.59	1	667
39	2838	0.6	0	6831
40	1248	0.7	0	2838
41	991	0.71	0	1248
42	696	0.71	0	991
43	640	0.71	0	696
44	590	0.7	0	640
45	655	0.7	0	590
46	830	0.71	0	655
47	831	0.7	0	830
48	741	0.71	0	831
49	816	0.71	0	741
50	855	0.71	0	816
51	2038	0.62	1	855
52	2910	0.59	1	2038
