Score	Years	Sales	Networth	Profit	Record	FLeverage
98	18	45	60	6	2	1.32
78	2	110	14	7	4	1.42
66	2	85	27	8	2	1.37
97	6	160	230	12	5	1.47
81	4	120	20	12	2	0.45
92	4	140	34	13	1	0.78
79	6	150	27	21	1	0.85
95	4	120	140	26	4	0.84
102	6	370	790	45	2	1.96
105	8	400	860	46	5	1.63
103	7	640	180	60	2	2.35
92	7	140	220	60	2	1.08
84	7	430	125	60	2	1.46
111	12	640	840	70	1	1.42
113	8	680	820	72	5	1.22
117	28	340	460	85	5	0.74
92	14	175	250	91	7	1.41
111	13	470	720	110	4	1.34
92	6	360	700	110	5	2.15
104	17	820	1300	125	2	1.2
129	11	820	1650	130	2	1.22
106	16	380	700	135	8	1.19
105	6	660	950	170	4	1.78
126	8	640	800	180	7	1.72
152	12	750	1800	220	6	0.24
119	14	1600	3400	240	8	5.71
105	24	1400	1850	240	7	1.87
123	7	760	1150	265	3	1.08
142	24	850	870	280	8	0.66
120	25	360	470	334	7	0.15
152	15	1200	1600	340	4	0.72
127	6	1300	1680	360	7	1.75
102	7	960	1600	360	3	1.21
126	16	1120	1870	450	4	2.34
148	11	1300	1700	600	2	1.24
165	22	2600	4400	615	4	0.83
160	13	3200	5600	720	8	0.76
