x	y
0.0067	13.3832
0.0133	17.2710
0.0200	15.0223
0.0267	18.1516
0.0333	13.6427
0.0400	16.6002
0.0467	16.7669
0.0533	14.0426
0.0600	16.0439
0.0667	14.0997
0.0733	14.4537
0.0800	15.5558
0.0867	16.7508
0.0933	17.7371
0.1000	14.3754
0.1067	14.0612
0.1133	15.8859
0.1200	15.2326
0.1267	15.3750
0.1333	16.9121
0.1400	14.6047
0.1467	14.8719
0.1533	14.6388
0.1600	12.4820
0.1667	15.1112
0.1733	15.8301
0.1800	13.5182
0.1867	12.5568
0.1933	13.8714
0.2000	14.1593
0.2067	14.6800
0.2133	11.7289
0.2200	11.9884
0.2267	14.1150
0.2333	12.0962
0.2400	11.6311
0.2467	9.3468
0.2533	13.4739
0.2600	11.0492
0.2667	11.5414
0.2733	11.1017
0.2800	9.4510
0.2867	14.0813
0.2933	8.0198
0.3000	10.2147
0.3067	16.0371
0.3133	11.5375
0.3200	14.1931
0.3267	9.8465
0.3333	10.5636
0.3400	14.6407
0.3467	13.7443
0.3533	13.7742
0.3600	13.3778
0.3667	13.3485
0.3733	15.3940
0.3800	14.5593
0.3867	15.4455
0.3933	19.8067
0.4000	16.7898
0.4067	21.1111
0.4133	18.7883
0.4200	16.3303
0.4267	19.7790
0.4333	21.0504
0.4400	18.6750
0.4467	20.8528
0.4533	19.9879
0.4600	19.2016
0.4667	21.8669
0.4733	24.4778
0.4800	21.9175
0.4867	22.9511
0.4933	21.6815
0.5000	20.1895
0.5067	25.6189
0.5133	20.7300
0.5200	25.7833
0.5267	18.4291
0.5333	23.9693
0.5400	23.9114
0.5467	17.8059
0.5533	22.6626
0.5600	20.5664
0.5667	23.3614
0.5733	21.2435
0.5800	24.2801
0.5867	15.1681
0.5933	19.5627
0.6000	17.5387
0.6067	12.8063
0.6133	17.2873
0.6200	14.7652
0.6267	12.0749
0.6333	15.0557
0.6400	9.9761
0.6467	11.2844
0.6533	7.8024
0.6600	12.8417
0.6667	9.8828
0.6733	11.8840
0.6800	6.7928
0.6867	9.9640
0.6933	8.1721
0.7000	6.2742
0.7067	7.5127
0.7133	4.6010
0.7200	3.6750
0.7267	3.4029
0.7333	4.6021
0.7400	2.7535
0.7467	1.5822
0.7533	2.4793
0.7600	2.7811
0.7667	4.6292
0.7733	4.1795
0.7800	5.3694
0.7867	2.5653
0.7933	3.0883
0.8000	3.0434
0.8067	4.1191
0.8133	6.0015
0.8200	9.9882
0.8267	10.0642
0.8333	9.6605
0.8400	7.3837
0.8467	9.6633
0.8533	15.5940
0.8600	16.8114
0.8667	15.4274
0.8733	13.9970
0.8800	14.9305
0.8867	16.0870
0.8933	15.9897
0.9000	21.7306
0.9067	22.7535
0.9133	22.8637
0.9200	21.3638
0.9267	18.7160
0.9333	22.9336
0.9400	26.7785
0.9467	25.4003
0.9533	25.7531
0.9600	25.0934
0.9667	31.4580
0.9733	27.0233
0.9800	29.6758
0.9867	29.1300
0.9933	32.3841
1.0000	34.5326
