Case	Temperature	Density	Rate	Defective
1	0.97	32.08	177.7	0.2
2	2.85	21.14	254.1	47.9
3	2.95	20.65	272.6	50.9
4	2.84	22.53	273.4	49.7
5	1.84	27.43	210.8	11
6	2.05	25.42	236.1	15.6
7	1.5	27.89	219.1	5.5
8	2.48	23.34	238.9	37.4
9	2.23	23.97	251.9	27.8
10	3.02	19.45	281.9	58.7
11	2.69	23.17	254.5	34.5
12	2.63	22.7	265.7	45
13	1.58	27.49	213.3	6.6
14	2.48	24.07	252.2	31.5
15	2.25	24.38	238.1	23.4
16	2.76	21.58	244.7	42.2
17	2.36	26.3	222.1	13.4
18	1.09	32.19	181.4	0.1
19	2.15	25.73	241	20.6
20	2.12	25.18	226	15.9
21	2.27	23.74	256	44.4
22	2.73	24.85	251.9	37.6
23	1.46	30.01	192.8	2.2
24	1.55	29.42	223.9	1.5
25	2.92	22.5	260	55.4
26	2.44	23.47	236	36.7
27	1.87	26.51	237.3	24.5
28	1.45	30.7	221	2.8
29	2.82	22.3	253.2	60.8
30	1.74	28.47	207.9	10.5
