RA	VTINV	DIPINV	HEAT	KPOINT	GROUP
6.3796	0.0051	0.0382	-296.1	7	1
6.8896	0.0047	0.0346	-302.96	16	1
7.7734	0.0041	0.0358	-314.31	11	1
7.8796	0.0044	0.0316	-309.81	20.8	1
7.8796	0.0041	0.029	-316.66	21	1
8.3796	0.0038	0.0268	-335.52	31.5	1
8.8796	0.0036	0.0249	-330.37	31	1
8.7734	0.0036	0.0302	-328.01	25	1
9.3796	0.0034	0.0233	-337.22	38.2	1
9.8796	0.0032	0.0218	-344.07	40.5	1
9.7734	0.0032	0.026	-341.72	30	1
5.9319	0.0056	0.0427	-289.25	8	1
5.7488	0.0056	0.0443	-226.8	22	2
6.7488	0.0047	0.0357	-240.51	33	2
7.2488	0.0044	0.0325	-247.36	35.5	2
7.7488	0.0041	0.0298	-254.22	42	2
8.2488	0.0038	0.0275	-261.07	48	2
8.7488	0.0036	0.0255	-267.92	50	2
9.2488	0.0034	0.0238	-274.77	62	2
9.7488	0.0032	0.0223	-281.62	57	2
8.3009	0.0037	0.034	-307.15	20.2	3
6.4171	0.0048	0.0375	-306.5	0	3
7.4171	0.0042	0.0312	-320.35	8.1	3
8.4171	0.0037	0.0268	-334.07	24.2	3
9.4171	0.0033	0.0233	-347.75	36.2	3
6.4171	0.0048	0.0384	-307.87	0	3
7.4171	0.0042	0.0321	-321.57	12.5	3
8.4171	0.0037	0.0274	-335.27	26.5	3
9.4171	0.0033	0.0238	-348.98	39	3
9.957	0.0031	0.021	-378.55	36	4
11.034	0.0027	0.018	-425.24	24	4
12.111	0.0025	0.0158	-471.64	19	4
