Magazine,AdRevenue,AdPages,SubRevenue,NewsRevenue
Weekly World News,2280,300,854,16568
National Examiner,3382,380,968,27215
J-14,4218,250,2206,12453
Soap Opera Weekly,4622,439,5555,24282
Easyriders,5121,523.69,4155,9929
Mary Engelbreit's Home Companion,5259,189,9048,4363
Official Xbox Magazine,5838,541.66,4311,10320
Weight Watchers,6986,287.27,9202,4048
Globe,7634,380,2180,63771
PSM: 100% Independent PlayStation 2 Magazine,8034,720.11,6846,5271
PC Gamer,8154,905.68,6028,12508
Saveur,8582,306.33,9621,2299
Yankee,9353,496.09,11427,1136
Diabetes Forecast,9441,666.35,11306,519
Guns & Ammo,9551,414.19,10602,2576
Fine Homebuilding,9683,521.78,7117,6307
Organic Style,10147,254.41,9016,1490
Country Weekly,10611,720.7,5983,20947
Billboard,11042,1181,7758,1584
Honey,11613,553,5467,1454
Computer Gaming World,11787,681.26,4376,4413
Wood,12102,342.3,14345,3082
Fit Pregnancy,13010,536.75,5352,3311
Windows & .NET Magazine,13286,833.75,4225,1571
Arthur Frommer's Budget Travel,13310,527.69,6875,1334
Veranda,13431,644.9,6098,4892
Four Wheeler,13959,1016.33,4273,4602
Bassmaster,14165,419.83,11173,284
Scientific American,14294,291.92,19206,9227
Nick Jr.,14385,299.01,6588,326
Backpacker,14422,451.65,6594,1945
Crain's Chicago Business,14781,1120,3737,206
Disney Adventures,15603,287.84,11200,5976
Woman's World,15613,337,5555,119972
Harvard Business Review,15630,455.41,27064,3800
Discover,15864,273.53,27612,7553
National Geographic Adventure,15884,532,4006,1667
Adweek*,15917,1088,4229,105
Transworld Snowboarding,17120,1377.32,1339,1591
Biography,17351,352.54,14355,2475
Official U.S. Playstation Magazine,17868,891.27,6121,18711
Crain's New York Business,18041,1040,1806,107
National Geographic Traveler,18052,454.28,12280,1475
Petersen's Photographic,18090,1041.14,4266,1064
Variety* (weekly),18254,1525.17,7594,1229
Cigar Aficionado,18436,900,3934,1599
Flex,18522,2288.85,1702,7313
Flying,18706,778.33,7177,1301
Dirt Rider,18708,1553.18,1735,1810
Builder,18748,2200.12,944,12
Cruising World,18795,1184.39,3978,849
Working Mother,19814,414.41,7579,90
Outdoor Life,20293,436.41,15863,1016
Petersen's 4-Wheel & Off Road,20692,1156.6,5786,5018
Wine Spectator,20734,950,13817,4194
Southern Accents,20787,694.15,8776,2899
Robb Report,20834,1146.28,3708,4748
GamePro,21033,1152,9385,10196
Yachting,21269,2135.7,2571,521
