LATE	BILL
16	79
47	264
22	97
47	289
47	288
21	100
44	250
27	140
19	97
48	299
16	80
50	311
11	46
17	110
25	146
37	201
22	95
38	205
24	150
31	158
51	310
40	197
34	180
30	149
39	211
5	90
11	60
33	187
42	220
15	70
48	273
10	50
29	162
25	153
43	225
42	210
30	154
41	215
49	301
43	240
36	205
6	95
52	302
19	98
26	150
36	179
13	75
35	199
74	150
47	289
39	310
47	299
53	240
71	179
82	90
83	95
90	50
92	80
71	158
80	110
83	95
57	220
84	100
63	211
73	149
60	205
50	302
91	70
49	250
67	201
83	97
83	98
81	97
74	153
69	150
65	146
70	154
60	197
53	273
63	205
67	199
99	60
60	210
85	75
79	140
68	187
70	162
47	311
51	264
69	180
44	301
47	288
55	225
86	79
94	46
59	215
