Team	Population	AverageWins	PlayoffAppearances	n	Proportion
Mets	18.323	80.1	2	10	0.2
Yankees	18.323	96.6	10	10	1
Angels	12.366	81.2	2	10	0.2
Dodgers	12.366	85.8	3	10	0.3
Cubs	9.098	77.1	2	10	0.2
WhiteSox	9.098	81.6	1	10	0.1
Phillies	5.687	75.9	0	10	0
Rangers	5.162	80	3	10	0.3
Marlins	5.008	76.5	2	10	0.2
Astros	4.715	86.9	5	10	0.5
BlueJays	4.683	77.2	0	10	0
Tigers	4.453	64.1	0	10	0
RedSox	4.391	88.8	5	10	0.5
Braves	4.248	97.7	10	10	1
Athletics	4.124	85.4	4	10	0.4
Giants	5.124	87.3	4	10	0.4
Expos	3.426	73.3	0	10	0
Diamondbacks	3.252	82.1	3	10	0.3
Mariners	3.044	86.5	4	10	0.4
Twins	2.969	76.5	3	10	0.3
Padres	2.814	78.1	2	10	0.2
Cardinals	2.699	85.6	5	10	0.5
Orioles	2.553	76.7	2	10	0.2
Pirates	2.431	70.7	0	10	0
DevilRays	2.396	64.4	0	10	0
Rockies	2.179	76.2	1	10	0.1
Indians	2.148	87.4	6	10	0.6
Reds	2.01	78.9	1	10	0.1
Royals	1.836	69.3	0	10	0
Brewers	1.501	70.3	0	10	0
