Case	Salary	Experience
1	71	26
2	69	19
3	73	22
4	69	17
5	65	13
6	75	25
7	66	35
8	66	16
9	67	16
10	69	16
11	76	26
12	72	16
13	69	25
14	45	4
15	72	17
16	62	12
17	74	23
18	65	17
19	73	26
20	57	7
21	64	17
22	67	36
23	75	28
24	52	5
25	69	25
26	56	7
27	70	32
28	72	30
29	75	35
30	73	21
31	71	18
32	65	14
33	69	35
34	51	8
35	58	11
36	72	20
37	68	17
38	68	34
39	69	26
40	67	33
41	65	36
42	73	22
43	69	19
44	51	8
45	67	20
46	71	22
47	40	1
48	68	18
49	65	17
50	75	28
51	67	17
52	73	30
53	51	8
54	56	10
55	40	3
56	73	18
57	65	17
58	69	33
59	65	13
60	66	14
61	37	1
62	52	6
63	51	8
64	51	6
65	71	19
66	69	36
67	71	16
68	43	3
69	72	25
70	57	12
71	71	21
72	75	27
73	77	29
74	68	23
75	74	27
76	72	23
77	70	14
78	44	3
79	67	15
80	57	12
81	69	25
82	76	25
83	69	28
84	67	19
85	77	31
86	75	27
87	72	16
88	54	9
89	55	7
90	70	16
91	59	9
92	75	29
93	60	12
94	69	15
95	75	22
96	73	18
97	64	17
98	75	23
99	64	16
100	71	33
101	41	2
102	75	34
103	56	10
104	61	13
105	58	12
106	70	22
107	43	2
108	74	20
109	70	21
110	75	22
111	72	35
112	74	34
113	67	13
114	68	17
115	73	29
116	41	2
117	60	14
118	78	31
119	77	25
120	45	3
121	60	13
122	69	21
123	70	18
124	68	33
125	64	14
126	41	4
127	77	25
128	66	18
129	43	4
130	78	27
131	74	32
132	70	32
133	66	17
134	41	4
135	75	30
136	74	24
137	45	3
138	74	28
139	43	3
140	63	12
141	67	16
142	71	20
143	69	31
