x	y
3.32099	33.3432
2.69991	20.213
2.70481	18.0694
3.73984	48.9983
2.57108	16.0149
3.68802	49.8998
2.39992	14.4458
1.78663	5.6685
2.20659	11.5951
3.15641	33.7323
2.86573	23.7702
1.30469	2.2362
2.18637	11.1364
3.0681	27.5163
2.49919	15.3935
2.74897	19.9862
2.15001	9.9109
3.49935	42.708
3.1796	32.0223
1.22446	1.6925
3.26801	35.096
2.91439	24.6466
3.97868	61.1962
2.26905	12.1229
2.84972	23.9328
3.6261	47.2476
1.25152	2.1234
3.83329	59.1675
3.52931	45.2103
1.79089	5.7513
3.5543	43.0862
2.7924	20.8521
2.29817	12.4834
2.53913	16.6318
2.15947	11.4917
1.53617	3.8503
3.36299	35.6558
1.8509	6.7904
1.88233	6.7452
0.86931	0.8449
1.332	2.3653
1.92846	6.9715
2.77564	21.7529
2.17567	11.4095
2.04803	8.2443
2.27949	11.019
2.91078	25.4576
2.58392	16.6687
3.96542	63.83
1.30623	2.1457
3.44096	40.266
1.07831	1.128
1.05076	1.1328
3.4574	41.8726
1.90602	7.6156
2.39981	14.8438
2.95853	23.3444
3.66016	49.1181
2.36665	14.8087
2.73937	19.4659
1.47572	3.4185
1.29097	1.7982
3.65953	53.7863
1.73393	4.5254
2.18298	9.9448
1.35209	2.4481
2.8837	23.0812
3.32184	36.2724
2.20787	11.6131
3.24659	35.6313
2.54352	17.1209
1.85182	5.5055
2.85186	22.105
3.2234	32.5885
3.14836	33.9598
1.59258	3.6238
2.02967	8.1768
3.60704	45.5053
2.30028	11.5366
2.95699	24.434
1.36389	2.4027
2.12063	9.0656
2.20592	9.6377
3.63339	49.4747
2.36543	12.0474
1.66083	4.0184
2.94361	25.2504
2.08462	9.6616
1.53156	3.5352
1.98335	7.3046
2.533	16.5471
3.94087	57.3248
1.76637	5.4754
2.19493	11.0286
2.78916	20.9495
3.0839	29.8342
2.66885	19.2853
3.64001	51.8336
3.04482	26.4108
2.78196	23.0565
2.57562	16.8243
1.7234	5.2046
2.86697	23.7597
3.41042	40.5698
1.8053	5.5878
2.05543	8.5039
2.10291	8.4506
2.95826	27.2786
2.75984	20.0711
1.20572	1.8183
3.20145	31.9565
3.29144	34.1747
3.58681	45.3159
1.11233	1.062
2.7138	20.564
2.69156	20.4117
2.02312	8.7911
2.25372	11.1812
2.08085	9.6327
2.5676	16.449
0.98286	1.0296
0.70602	0.3512
3.63235	51.833
2.69904	19.4908
3.92939	59.6799
3.09435	25.7437
2.86782	20.1753
1.42029	2.8233
2.47691	15.9074
2.81952	21.7277
2.27985	12.1334
3.13683	29.7095
2.38031	14.3267
3.65227	52.0344
3.14857	31.8554
3.00678	26.6976
2.16246	9.7642
4.4251	88.3135
2.88064	24.9528
1.70316	5.7725
2.17228	10.1512
2.11633	8.7886
1.91223	7.5097
2.21839	10.4464
2.43275	14.9139
2.8694	21.6612
1.99072	8.3594
2.56591	16.4212
2.33839	13.5821
1.02123	0.9721
3.14665	31.635
3.63049	51.2732
3.09918	29.7164
2.38014	15.1383
3.09492	31.9533
3.43989	41.1173
2.96182	25.54
2.29346	10.9365
3.1488	29.5059
2.01785	10.3706
3.35819	35.5435
3.42976	43.4946
2.41689	13.586
3.10794	31.2585
2.9625	26.462
3.13024	31.5297
1.32585	2.2941
0.78854	0.4225
1.1099	1.4354
3.19232	32.1644
2.87141	22.792
3.96415	62.0373
2.35374	13.5346
3.2352	31.0931
1.74669	6.534
3.97242	59.0332
2.88482	25.7832
2.90902	24.7537
1.99886	8.2386
2.57824	17.1987
2.0535	8.8022
2.84714	22.7639
2.81517	20.2579
2.45092	13.9936
2.43826	14.1511
3.81657	58.0793
1.77966	6.3034
2.08062	9.6613
1.68019	5.0343
2.69905	21.3094
1.40251	2.9635
3.21937	32.3297
1.54369	3.3946
3.29222	34.7853
1.56151	3.7841
2.79631	20.9032
2.03159	8.0194
2.27263	12.1414
3.51952	43.581
3.00975	26.843
1.70328	5.2997
3.66102	49.6365
3.79001	56.7291
2.33457	12.229
3.83394	56.4515
2.75529	20.1326
2.50325	17.0682
2.26652	10.7641
2.52158	16.373
3.32996	35.2636
2.4986	14.2747
1.87108	6.1346
2.71421	21.2417
2.33585	12.551
2.70482	17.9266
2.30069	13.1528
3.19139	31.1496
2.5273	14.9603
2.30654	13.5982
1.54067	3.0066
2.69582	20.6006
3.32431	33.0973
4.19904	71.5744
3.05592	29.5091
1.63806	4.8171
1.69543	5.202
2.08596	10.0878
4.08038	71.6386
1.26991	2.1569
1.82426	5.8331
1.45787	3.0891
3.32265	33.9325
2.76877	21.7413
3.45066	41.2263
1.80508	6.619
3.49534	41.4344
2.33801	13.4839
1.23452	1.9586
3.54431	42.4261
0.49271	0.1498
2.68646	19.734
1.11789	1.2697
2.82654	22.4469
2.71247	20.9975
2.21558	10.9476
2.5879	18.4936
2.59072	16.0851
1.86931	7.9378
3.10564	28.2467
3.42914	42.8852
