Case	x	y
1	0.537192	0.513242
2	0.621958	0.647169
3	0.279372	0.0747159
4	0.0874715	0.0485589
5	0.851261	1.53735
6	0.177664	0.101096
7	0.548922	0.469224
8	0.0795621	0.0313619
9	0.102666	0.0732104
10	0.0507336	0.0245368
11	0.798813	1.03249
12	0.293505	0.102313
13	0.968607	1.66432
14	0.7981		1.1256
15	0.899195	1.38137
16	0.898586	1.44377
17	0.881233	1.01643
18	0.431415	0.262031
19	0.176142	0.035094
20	0.619823	0.617236
21	0.811115	1.05109
22	0.0299715	0.020845
23	0.253751	0.0825691
24	0.62722		0.642758
25	0.540261	0.487249
26	0.708449	0.878189
27	0.979238	1.75771
28	0.454939	0.303418
29	0.333714	0.242585
30	0.571654	0.529886
31	0.910349	1.4863
32	0.080043	0.0190065
33	0.556352	0.477228
34	0.452482	0.403149
35	0.14024		0.0329619
36	0.734207	1.03669
37	0.46022		0.452983
38	0.745238	0.980476
39	0.42251		0.208372
40	0.886488	1.25036
41	0.106987	0.0239176
42	0.919959	1.84854
43	0.0367891	0.00982665
44	0.443272	0.23797
45	0.43155		0.37046
46	0.773273	1.05402
47	0.348304	0.25505
48	0.126441	0.0348358
49	0.363229	0.230222
50	0.875197	1.08699
51	0.320791	0.141925
52	0.208065	0.123587
53	0.392234	0.266244
54	0.903009	1.59208
55	0.129959	0.0431916
56	0.898281	1.40651
57	0.321577	0.19297
58	0.285247	0.20159
59	0.983051	1.74824
60	0.0931702	0.0374565
61	0.455009	0.467722
62	0.890027	1.71061
63	0.511974	0.651024
64	0.634746	0.726787
65	0.96673		1.57444
66	0.0917793	0.0476993
67	0.0148301	0.0228805
68	0.191183	0.065607
69	0.426681	0.338636
70	0.574496	0.500899
71	0.18877		0.093052
72	0.884871	1.67316
73	0.292902	0.22551
74	0.105104	0.0204144
75	0.289249	0.155175
76	0.205719	0.134845
77	0.7917		1.12643
78	0.837893	1.39099
79	0.215077	0.147077
80	0.777275	0.962894
81	0.570973	0.660074
82	0.824971	1.22601
83	0.746114	0.997968
84	0.200247	0.125019
85	0.586093	0.44844
86	0.144292	0.0444961
87	0.250475	0.147321
88	0.557344	0.549246
89	0.315377	0.15421
90	0.293191	0.180589
91	0.0391877	0.0465711
92	0.961226	2.11924
93	0.351625	0.159087
94	0.523676	0.371374
95	0.455298	0.347329
96	0.82411		1.13805
97	0.183951	0.034629
98	0.780651	1.2515
99	0.698705	0.620503
100	0.709184	0.819703
