County	Women	Storks	Babies
1	1	2	10
2	1	2	15
3	1	2	20
4	1	3	10
5	1	3	15
6	1	3	20
7	1	4	10
8	1	4	15
9	1	4	20
10	2	4	15
11	2	4	20
12	2	4	25
13	2	5	15
14	2	5	20
15	2	5	25
16	2	6	15
17	2	6	20
18	2	6	25
19	3	5	20
20	3	5	25
21	3	5	30
22	3	6	20
23	3	6	25
24	3	6	30
25	3	7	20
26	3	7	25
27	3	7	30
28	4	6	25
29	4	6	30
30	4	6	35
31	4	7	25
32	4	7	30
33	4	7	35
34	4	8	25
35	4	8	30
36	4	8	35
37	5	7	30
38	5	7	35
39	5	7	40
40	5	8	30
41	5	8	35
42	5	8	40
43	5	9	30
44	5	9	35
45	5	9	40
46	6	8	35
47	6	8	40
48	6	8	45
49	6	9	35
50	6	9	40
51	6	9	45
52	6	10	35
53	6	10	40
54	6	10	45
