Amount	Age	Segment	C
997	44	A	0
997	43	A	0
951	41	A	0
649	59	A	0
1265	25	A	0
1059	38	A	0
837	46	A	0
924	42	A	0
852	48	A	0
963	39	A	0
1046	36	A	0
979	44	A	0
1022	40	A	0
1133	30	A	0
692	55	A	0
1341	26	A	0
786	50	A	0
451	64	A	0
1237	26	A	0
895	47	A	0
1096	40	A	0
816	47	A	0
663	59	A	0
1141	34	A	0
646	58	A	0
1346	26	A	0
698	57	A	0
870	47	A	0
850	48	A	0
1245	34	A	0
503	60	A	0
623	58	A	0
1074	37	A	0
981	44	A	0
621	59	A	0
1346	25	A	0
1262	28	A	0
579	59	A	0
887	46	A	0
1159	33	A	0
646	56	A	0
984	39	A	0
1213	28	A	0
879	46	A	0
667	55	A	0
723	56	A	0
632	59	A	0
1188	33	A	0
811	46	A	0
1258	26	A	0
1263	27	A	0
1206	32	A	0
596	60	A	0
1173	33	A	0
621	60	A	0
576	61	A	0
544	63	A	0
1083	33	A	0
963	45	A	0
1233	28	A	0
688	55	A	0
822	51	A	0
538	62	A	0
565	59	A	0
521	62	A	0
773	53	A	0
862	50	A	0
922	49	A	0
461	63	A	0
576	64	A	0
620	59	A	0
1226	25	A	0
742	49	A	0
509	63	A	0
999	41	A	0
782	49	A	0
948	42	A	0
509	61	A	0
1068	38	A	0
1211	27	A	0
798	51	A	0
745	56	A	0
969	36	A	0
510	63	A	0
1287	25	A	0
944	41	A	0
569	61	A	0
614	58	A	0
601	63	A	0
694	51	A	0
650	59	A	0
1083	37	A	0
857	46	A	0
758	52	A	0
564	60	A	0
879	46	A	0
943	42	A	0
642	60	A	0
1185	29	A	0
731	51	A	0
525	60	A	0
1060	39	A	0
544	64	A	0
1052	37	A	0
998	40	A	0
1232	27	A	0
1050	39	A	0
911	47	A	0
821	49	A	0
1201	32	A	0
846	47	A	0
719	54	A	0
981	41	A	0
1141	34	A	0
547	62	A	0
1166	32	A	0
911	46	A	0
840	50	A	0
659	54	A	0
786	51	A	0
586	59	A	0
1311	27	A	0
1230	26	A	0
880	48	A	0
1303	25	A	0
1154	35	A	0
1218	31	A	0
1303	25	A	0
666	58	A	0
1209	31	A	0
1163	33	A	0
1070	38	A	0
1028	38	A	0
1220	27	A	0
924	42	A	0
901	47	A	0
471	64	A	0
1181	32	A	0
535	64	A	0
1129	31	A	0
717	59	A	0
1241	28	A	0
1319	26	A	0
562	62	A	0
1094	35	A	0
648	54	A	0
919	45	A	0
816	49	A	0
964	42	A	0
530	64	A	0
1063	36	A	0
754	56	A	0
685	53	A	0
766	52	A	0
660	62	A	0
829	45	A	0
584	62	A	0
1299	26	A	0
777	57	A	0
797	50	A	0
513	64	A	0
1201	29	A	0
596	62	A	0
1267	29	A	0
853	48	A	0
1031	45	A	0
939	44	A	0
1036	40	A	0
1148	28	A	0
586	60	A	0
1285	28	A	0
920	44	A	0
603	60	A	0
853	49	A	0
816	44	A	0
1048	35	A	0
1062	39	A	0
1203	33	A	0
661	55	A	0
1123	34	A	0
1086	35	A	0
1205	27	A	0
914	44	A	0
1108	38	A	0
1286	27	A	0
972	39	A	0
1066	38	A	0
1173	33	A	0
